station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
1,1 - Largo da Batata,-23.5668309564147,-46.6937412022694,64,83,0.7710843373493976,0.22891566265060237,0.7710843373493976,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.6461650310803615
3,3 - CPTM Pinheiros,-23.5664776214954,-46.7012582819428,9,15,0.6,0.4,0.6,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.8172493684297591
4,4 - Rua Diogo Moreira,-23.5691446194095,-46.6920025786078,15,23,0.6521739130434783,0.34782608695652173,0.6521739130434783,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.7650754553862809
5,5 - Chicão Vive,-23.56903870952971,-46.6973044204905,9,11,0.8181818181818182,0.18181818181818177,0.8181818181818182,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.5990675502479409
6,6 - Rua Manduri,-23.5721366373874,-46.6901067804038,13,19,0.6842105263157895,0.3157894736842105,0.6842105263157895,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.7330388421139696
7,7 - Praça Joaquim Roberto,-23.5725441757412,-46.6936810045059,3,19,0.15789473684210525,0.8421052631578947,0.15789473684210525,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.2593546315876538
9,9 - Rua Grécia,-23.575610896422,-46.6873608611159,1,15,0.06666666666666667,0.9333333333333333,0.06666666666666667,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.3505827017630925
10,10 - Rua Campo Verde,-23.5746792860054,-46.6893026745285,0,19,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
12,12 - Largo da Batata II,-23.5661641536793,-46.6939591666242,33,35,0.9428571428571428,0.05714285714285716,0.9428571428571428,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.4743922255726163
13,13 - Esporte Clube Pinheiros Funcionários,-23.5795958800921,-46.6906372471165,12,23,0.5217391304347826,0.4782608695652174,0.5217391304347826,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.8955102379949765
14,14 - Museu da Casa Brasileira,-23.5808802329648,-46.6847086015679,2,17,0.11764705882352941,0.8823529411764706,0.11764705882352941,0,True,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.6911341344820536
15,15 - Rua Prof. Artur Ramos,-23.5824196171547,-46.6870353144305,0,19,0.0,1.0,0.0,0,True,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.5734870756585242
16,16 - Esporte Clube Pinheiros ,-23.5823017032445,-46.6912872947886,6,19,0.3157894736842105,0.6842105263157895,0.3157894736842105,-1,False,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.8892765493427346
17,17 - Rua José Gonçalves de Oliveira,-23.584681022117113,-46.68358637011905,2,15,0.13333333333333333,0.8666666666666667,0.13333333333333333,0,True,Itaim Bibi,81456,12000,8145.6,-1.5734870756585242,1.7068204089918575
